"uncertainty","predicting","model","site_reach","standard_dev","nrmse"
"param_and_process","M_cover","all","SFE-M-1S",35.2025780737001,0.295669838365318
"param_and_process","M_cover","all","SFE-M-2",33.2293853557586,0.310822148143382
"param_and_process","M_cover","all","SFE-M-3",36.7196988269016,0.386592331488083
"param_and_process","M_cover","all","SFE-M-4",34.1872166356874,0.426763740067518
"param_and_process","M_cover","all","SFE-SH-1S",31.9323225279098,0.260859116547787
"param_and_process","M_cover","biochemical","SFE-M-1S",35.3013583815329,0.303417322574868
"param_and_process","M_cover","biochemical","SFE-M-2",32.9311003130535,0.358013392461258
"param_and_process","M_cover","biochemical","SFE-M-3",33.92204447494,0.433443986157878
"param_and_process","M_cover","biochemical","SFE-M-4",36.2319595444414,0.609964842210928
"param_and_process","M_cover","biochemical","SFE-SH-1S",29.3908910150685,0.34533359137835
"param_and_process","M_cover","biological","SFE-M-1S",29.4489865649693,0.318333626403183
"param_and_process","M_cover","biological","SFE-M-2",28.601201107474,0.337271225797441
"param_and_process","M_cover","biological","SFE-M-3",28.3901935197443,0.324633893191191
"param_and_process","M_cover","biological","SFE-M-4",32.1759516431383,0.541783449599432
"param_and_process","M_cover","biological","SFE-SH-1S",28.8267321699593,0.323026687201214
"param_and_process","M_cover","chemical","SFE-M-1S",35.3013583815329,0.303417322574868
"param_and_process","M_cover","chemical","SFE-M-2",32.9311003130535,0.358013392461258
"param_and_process","M_cover","chemical","SFE-M-3",33.92204447494,0.433443986157878
"param_and_process","M_cover","chemical","SFE-M-4",36.2319595444414,0.609964842210928
"param_and_process","M_cover","chemical","SFE-SH-1S",29.3908910150685,0.34533359137835
"param_and_process","M_cover","chemical","SFE-M-1S",36.8951920880162,0.299379710754443
"param_and_process","M_cover","chemical","SFE-M-2",32.6500127400022,0.382181813908914
"param_and_process","M_cover","chemical","SFE-M-3",30.4645613712665,0.433181179573756
"param_and_process","M_cover","chemical","SFE-M-4",34.8886014711362,0.619341094298347
"param_and_process","M_cover","chemical","SFE-SH-1S",27.1914263658516,0.373867025679571
"param_and_process","M_cover","chemical","SFE-M-1S",34.1109690659713,0.28826072539368
"param_and_process","M_cover","chemical","SFE-M-2",32.5285166679728,0.282071231152855
"param_and_process","M_cover","chemical","SFE-M-3",35.6599165932685,0.390879777420977
"param_and_process","M_cover","chemical","SFE-M-4",32.3179932285866,0.415315224683297
"param_and_process","M_cover","chemical","SFE-SH-1S",31.8213720845381,0.250481346633684
"param_and_process","M_cover","ecohydrological","SFE-M-1S",30.8355005782684,0.259814134251649
"param_and_process","M_cover","ecohydrological","SFE-M-2",29.8661102928121,0.256859722076691
"param_and_process","M_cover","ecohydrological","SFE-M-3",29.8361371111275,0.269836671521589
"param_and_process","M_cover","ecohydrological","SFE-M-4",30.0488235250038,0.440077247682852
"param_and_process","M_cover","ecohydrological","SFE-SH-1S",29.3044280866304,0.23412094793443
"param_and_process","M_cover","physical","SFE-M-1S",30.2390804531539,0.259649588056579
"param_and_process","M_cover","physical","SFE-M-2",29.5877401415666,0.257430348824971
"param_and_process","M_cover","physical","SFE-M-3",29.795915516689,0.259337636317212
"param_and_process","M_cover","physical","SFE-M-4",29.877240672977,0.437064146563262
"param_and_process","M_cover","physical","SFE-SH-1S",28.5660452767858,0.228203562139304
"param_and_process","M_cover","physicochemical","SFE-M-1S",34.1109690659713,0.28826072539368
"param_and_process","M_cover","physicochemical","SFE-M-2",32.5285166679728,0.282071231152855
