"parameters","SFE.M.1S","SFE.M.2","SFE.M.3","SFE.M.4","SFE.SH.1S","model","predicting"
"b0",1.00067123300876,0.99988798632149,1.00037960999559,1.00006572265834,1.00097507295611,"all","M_cover"
"Temperature",1.00089314704222,1.00008644825342,1.00011088788817,1.0002725967327,1.0006345958036,"all","M_cover"
"Discharge",1.00094928352611,1.00001534267229,1.00053406174601,1.00010159343159,1.00126919311845,"all","M_cover"
"DIN",1.00017052811758,1.00029420543025,0.999997183470877,1.00007752414863,1.00007672510776,"all","M_cover"
"OPhos",1.0006647185607,1.00014344331476,1.00013409659687,1.00033870023424,1.00045373183186,"all","M_cover"
"Conductivity",1.00046446798082,1.00022222662914,1.00042832778298,1.00012427697259,1.00037230707395,"all","M_cover"
"GPP",1.00037318310316,1.00023998122256,1.00004728062778,1.00022232369915,1.00069896697322,"all","M_cover"
"sigma",1.00032090275477,1.00002221426201,0.999931395155413,1.0000543855923,1.00007167809354,"all","M_cover"
"lp__",1.00011128543939,1.00051671710453,1.000663347401,1.00065373448536,1.00023784389529,"all","M_cover"
"b0",0.999916624426065,1.00075483559753,1.00007671329874,1.00044895544912,0.999908694419657,"biochemical","M_cover"
"DIN",0.999988331004504,1.00170241983217,1.00031517112492,0.999847704012427,1.00016834807883,"biochemical","M_cover"
"OPhos",1.00025316667652,1.00087714936305,1.00025763815775,1.00012608182183,1.0003001714794,"biochemical","M_cover"
"Conductivity",0.999897844120852,1.00076833711489,1.00004690376481,1.00049810912348,0.999950992097618,"biochemical","M_cover"
"GPP",1.00010083579386,1.00064712214869,0.999872650554723,0.999933568053286,1.00039617417469,"biochemical","M_cover"
"sigma",1.0001548337411,1.00039098913349,1.00031889731952,1.00054458571961,1.00015428437814,"biochemical","M_cover"
"lp__",1.00048800612151,1.00078287035106,1.00020562955947,1.00040236470455,1.00045587150039,"biochemical","M_cover"
"b0",1.00013568222435,0.999977488035244,1.0003957063687,1.00055204577569,1.00049376132351,"biological","M_cover"
"GPP",1.00019377853945,1.0002695313121,1.00027733110951,1.00006262172777,1.00027876690793,"biological","M_cover"
"sigma",1.0000422921673,1.00010326585625,1.0001683247235,1.00000585179994,1.00070589694881,"biological","M_cover"
"lp__",1.00028954815773,1.00029468497903,0.999955146427222,1.00022584469477,1.0006773132581,"biological","M_cover"
"b0",1.00093392273146,0.999859835322962,1.00062563152195,1.00013407265231,1.0001900793896,"chemical","M_cover"
"DIN",1.00008271746926,1.00024897398481,1.00025269137872,1.00014409918312,1.00017522204501,"chemical","M_cover"
"OPhos",0.999942735361282,1.0001748097841,0.999952047480801,1.00005789749313,1.00039465300412,"chemical","M_cover"
"Conductivity",1.00065656253481,0.999904421127609,1.00055044834296,1.000103951047,1.00017723660749,"chemical","M_cover"
"sigma",1.00026120537201,1.00037377029536,1.00023839904367,1.00012478042347,1.00010691592734,"chemical","M_cover"
"lp__",1.0003375822433,1.00034295233621,1.00016778779834,1.00016926128379,1.00046743916685,"chemical","M_cover"
"b0",1.00013581951217,1.0002014076176,1.00000322971259,1.00040495882523,1.00055914732466,"ecohydrological","M_cover"
"Temperature",0.999934572868768,1.00030973418721,1.00030687912078,1.00022807928734,1.00041587669159,"ecohydrological","M_cover"
"Discharge",1.000130018188,1.00020268149859,0.999972157778677,1.0003654919433,1.00065964883639,"ecohydrological","M_cover"
"GPP",1.0000986595374,1.00054354088101,1.00026413597748,1.00024208322787,1.00062072578579,"ecohydrological","M_cover"
"sigma",1.00049214158626,1.00008203121179,1.0003542980804,1.00072106690339,0.999901504727297,"ecohydrological","M_cover"
"lp__",1.00159956498713,1.00027909677693,1.00083133930844,1.00061906412362,1.00064357960526,"ecohydrological","M_cover"
"b0",1.0001333064212,1.00012775667951,1.00023410496443,1.00125394312774,1.00028223250913,"physical","M_cover"
"Temperature",0.999956088501162,1.00026041906358,1.00098835903649,1.00054762513534,1.00027528390208,"physical","M_cover"
"Discharge",1.00015514129487,1.00001615088271,1.00010572401827,1.00119247565483,1.00037280856625,"physical","M_cover"
"sigma",1.00001310943458,1.00020450633672,0.999971447743703,1.0003372546118,1.00059681914018,"physical","M_cover"
