"predicting","model","coef_of_deter_lm","coef_of_deter_cor"
"AC_atx","all",0.23360779189499,0.23360779189499
"AC_atx","all_w_cover",0.333037871342659,0.333037871342659
"AC_atx","biochemical",0.117997249417685,0.117997249417685
"AC_atx","biochemical_w_cover",0.269910933889916,0.269910933889916
"AC_atx","biological",0.0881230492158005,0.0881230492158006
"AC_atx","biological_w_cover",0.533209196685732,0.533209196685732
"AC_atx","chemical",0.0266557263282703,0.0266557263282703
"AC_atx","chemical_w_cover",0.287483215754525,0.287483215754525
"AC_atx","ecohydrological",0.305142986579678,0.305142986579678
"AC_atx","ecohydrological_w_cover",0.511752919455809,0.511752919455809
"AC_atx","physical",0.154484555957093,0.154484555957094
"AC_atx","physical_w_cover",0.398640933952542,0.398640933952542
"AC_atx","physicochemical",0.272700934593954,0.272700934593954
"AC_atx","physicochemical_w_cover",0.334847769308832,0.334847769308832
"AC_cover","all",0.0435427366609963,0.0435427366609963
"AC_cover","biochemical",0.0584359898183282,0.0584359898183282
"AC_cover","biological",0.158455191937768,0.158455191937768
"AC_cover","chemical",0.0612513619514614,0.0612513619514614
"AC_cover","ecohydrological",0.0597320041150032,0.0597320041150032
"AC_cover","physical",0.0398191443720863,0.0398191443720863
"AC_cover","physicochemical",0.0479309441487084,0.0479309441487084
"M_atx","all",0.24467822819319,0.24467822819319
"M_atx","all_w_cover",0.226427798183882,0.226427798183882
"M_atx","biochemical",0.31285079652647,0.31285079652647
"M_atx","biochemical_w_cover",0.252463045582468,0.252463045582468
"M_atx","biological",0.0177801867924266,0.0177801867924265
"M_atx","biological_w_cover",0.00692773554885227,0.00692773554885227
"M_atx","chemical",0.13370265545268,0.13370265545268
"M_atx","chemical_w_cover",0.305075249822198,0.305075249822198
"M_atx","ecohydrological",0.231550496412115,0.231550496412115
"M_atx","ecohydrological_w_cover",0.221362014910025,0.221362014910025
"M_atx","physical",0.0358976173692948,0.0358976173692948
"M_atx","physical_w_cover",0.213396732484714,0.213396732484714
"M_atx","physicochemical",0.228967505751995,0.228967505751996
"M_atx","physicochemical_w_cover",0.23306252903122,0.23306252903122
"M_cover","all",0.404676728220072,0.404676728220072
"M_cover","biochemical",0.186526264048709,0.186526264048709
"M_cover","biological",0.272961641590082,0.272961641590082
"M_cover","chemical",0.128645357332468,0.128645357332468
"M_cover","ecohydrological",0.426441559362319,0.426441559362319
"M_cover","physical",0.441484088387289,0.441484088387289
"M_cover","physicochemical",0.400071453230754,0.400071453230754
