ESF,Sample,field_date,site,reach,sample_type,Total_ATXs,Det_Limit_ATXs,Total_CYL,Det_Limits_CYL,Total_MCs,Det_Limits_MCs,ATXa_ug_g,dhATXa_ug_g,HTXa_ug_g,dhHTXa_ug_g,ATX_all_ug_g
25-013,South ,8/21/24,,,TM,0,0.113,0,0.093,0,0.05,0,0,0,0,0
25-014,East,8/21/24,,,Other,0,0.119,0,0.099,0.38*,0.05,0,0,0,0,0
25-015,Red-1,8/21/24,,,TM,0,0.108,0,0.09,0,0.05,0,0,0,0,0
25-016,Et0 - Green ,8/22/24,,,TM,0,0.128,0,0.106,0,0.06,0,0,0,0,0
25-017,Et0,8/22/24,,,TM,0,0.119,0,0.099,0,0.05,0,0,0,0,0
25-018,Black -2,8/22/24,,,TM,0.094,0.114,0,0.095,0,0.05,0,0.094,0,0,0.094
25-019,Shack -Up,8/22/24,,,TM,0,0.15,0,0.124,0,0.06,0,0,0,0,0
25-020,Kid-Down ,8/23/24,,,TM,0.144,0.118,0,0.098,0,0.05,0,0.144,0,0,0.144
25-021,Kid-Up,8/23/24,,,Other,0.624,0.115,0,0.095,0,0.05,0,0.624,0,0,0.624
25-022,Canyon ,8/24/24,,,TM,0,0.158,0,0.131,0,0.07,0,0,0,0,0
25-023,Kelsey ,8/24/24,,,TM,0,0.115,0,0.095,0,0.05,0,0,0,0,0
25-024,Mill,8/24/24,,,TM,0,0.111,0,0.092,0,0.05,0,0,0,0,0
25-025,Town -5,8/24/24,,,TM,0,0.109,0,0.09,0,0.05,0,0,0,0,0
25-026,Klam -6,8/25/24,,,TM,0.47,0.112,0,0.093,0,0.05,0,0.119,0.078,0.078,0.47
25-027,Jones -4,8/25/24,,,TM,0,0.111,0,0.092,0,0.05,0,0,0,0,0
25-028,Eel-4S,10/10/24,SFE-M,1S,TM,0,0.121,0,0.1,0,0.05,0,0,0,0,0
25-117,Eel-4S Duplicate ,10/10/24,SFE-M,1S,TM,0,0.175,0,0.1,0,0.05,0,0,0,0,0
25-029,Eel-4S,9/14/24,SFE-M,1S,TM,0,0.119,0,0.098,0,0.05,0,0,0,0,0
25-030,Eel-4S,9/14/24,SFE-M,1S,TAC,0.022,0.121,0,0.101,0,0.05,0,0.022,0,0,0.022
25-031,Eel-BUG ,9/14/24,SFE-M,2,TM,0,0.121,0,0.101,0,0.05,0,0,0,0,0
25-032,Eel-BUG EXT 2 ,9/14/24,SFE-M,2,TM,0.098,0.155,0,0.128,0,0.07,0,0.098,0,0,0.098
25-033,Eel_BUG EXT 3 ,9/14/24,SFE-M,2,TM,0,0.147,0,0.122,0,0.06,0,0,0,0,0
25-034,Eel-BUG ,9/14/24,SFE-M,2,TAC,0.051,0.109,0,0.09,0,0.05,0,0.051,0,0,0.051
25-035,Eel-BUG EXT 2 ,9/14/24,SFE-M,2,TAC,0.064,0.133,0,0.111,0,0.06,0,0.064,0,0,0.064
25-036,Eel_BUG EXT 3 ,9/14/24,SFE-M,2,TAC,0.102,0.131,0,0.109,0,0.06,0,0.102,0,0,0.102
25-037,BLANK 1 ,N/A,,,BLANK,0,3.39,0,1.937,0,1.01,0,0,0,0,0
25-038,Eel-3UP,9/14/24,SFE-M,3,TM,0.096,0.162,0,0.092,0,0.05,0,0.096,0,0,0.096
25-039,Eel-3UP,9/14/24,SFE-M,3,TAC,0.158,0.172,0,0.098,0,0.05,0,0.158,0,0,0.158
25-040,Eel-2UP,9/14/24,SFE-M,4,TM,0.086,0.21,0,0.12,0,0.06,0,0.086,0,0,0.086
25-041,Eel-2UP,9/14/24,SFE-M,4,TAC,0.066,0.177,0,0.101,0,0.05,0,0.066,0,0,0.066
25-042,Eel-4S,8/14/24,SFE-M,1S,TM,2.531,0.229,0,0.131,0,0.07,2.064,0.468,0,0,2.531
25-046,Eel-4S,8/14/24,SFE-M,1S,TAC,0.475,0.159,0,0.091,0,0.05,0.43,0.045,0,0,0.475
25-043,Eel-4S EXT 2 ,8/14/24,SFE-M,1S,TAC,0.471,0.214,0,0.122,0,0.06,0.418,0.053,0,0,0.471
