"Date","taxa","presence","quadrat"
2024-06-19,"ana_cyl","y","y"
2024-06-19,"microcoleus","n","n"
2024-07-02,"ana_cyl","y","y"
2024-07-02,"microcoleus","n","n"
2024-07-17,"ana_cyl","y","y"
2024-07-17,"microcoleus","n","n"
2024-07-31,"ana_cyl","y","y"
2024-07-31,"microcoleus","y","y"
2024-08-14,"ana_cyl","y","y"
2024-08-14,"microcoleus","y","y"
2024-08-26,"ana_cyl","y","y"
2024-08-26,"microcoleus","y","y"
2024-09-14,"ana_cyl","y","y"
2024-09-14,"microcoleus","y","y"
2024-09-27,"ana_cyl","y","y"
2024-09-27,"microcoleus","y","y"
2024-10-10,"ana_cyl","y","y"
2024-10-10,"microcoleus","y","y"
